,Product Family,Product Name,month-year,diff
0,Office Furniture,Cabinet,2017-10-01,56.0
1,Office Furniture,Cabinet,2017-11-01,112.0
2,Office Furniture,Cabinet,2017-12-01,144.0
3,Office Furniture,Cabinet,2018-01-01,228.0
4,Office Furniture,Cabinet,2018-02-01,248.0
5,Office Furniture,Cabinet,2018-03-01,264.0
6,Office Furniture,Cabinet,2018-04-01,316.0
7,Office Furniture,Cabinet,2018-05-01,920.0
8,Office Furniture,Cabinet,2018-06-01,980.0
9,Office Furniture,Cabinet,2018-07-01,1044.0
10,Office Furniture,Cabinet,2018-08-01,1084.0
11,Office Furniture,Cabinet,2018-09-01,1116.0
12,Office Furniture,Cabinet,2018-10-01,1128.0
13,Office Furniture,Cabinet,2018-11-01,1152.0
14,Office Furniture,Cabinet,2018-12-01,1176.0
15,Office Furniture,Cabinet,2019-01-01,1192.0
16,Office Furniture,Cabinet,2019-02-01,1192.0
17,Office Furniture,Cabinet,2019-03-01,1232.0
18,Office Furniture,Cabinet,2019-04-01,1280.0
19,Office Furniture,Cabinet,2019-05-01,1332.0
20,Office Furniture,Cabinet,2019-06-01,1376.0
21,Office Furniture,Cabinet,2019-07-01,1416.0
22,Office Furniture,Cabinet,2019-08-01,1460.0
23,Office Furniture,Chair,2017-10-01,303.0092592592593
24,Office Furniture,Chair,2017-11-01,545.4166666666667
25,Office Furniture,Chair,2017-12-01,623.3333333333335
26,Office Furniture,Chair,2018-01-01,683.9351851851853
27,Office Furniture,Chair,2018-02-01,675.2777777777779
28,Office Furniture,Chair,2018-03-01,580.0462962962963
29,Office Furniture,Chair,2018-04-01,432.8703703703703
30,Office Furniture,Chair,2018-05-01,1411.1574074074072
31,Office Furniture,Chair,2018-06-01,1566.9907407407402
32,Office Furniture,Chair,2018-07-01,1610.2777777777771
33,Office Furniture,Chair,2018-08-01,1644.9074074074067
34,Office Furniture,Chair,2018-09-01,1688.1944444444437
35,Office Furniture,Chair,2018-10-01,1662.2222222222215
36,Office Furniture,Chair,2018-11-01,1965.2314814814808
37,Office Furniture,Chair,2018-12-01,1982.5462962962956
38,Office Furniture,Chair,2019-01-01,1835.3703703703695
39,Office Furniture,Chair,2019-02-01,1818.0555555555547
40,Office Furniture,Chair,2019-03-01,1774.7685185185178
41,Office Furniture,Chair,2019-04-01,1627.592592592592
42,Office Furniture,Chair,2019-05-01,1809.3981481481474
43,Office Furniture,Chair,2019-06-01,1921.9444444444437
44,Office Furniture,Chair,2019-07-01,1714.166666666666
45,Office Furniture,Chair,2019-08-01,1757.453703703703
46,Office Furniture,Desk,2017-10-01,1300.0000000000023
47,Office Furniture,Desk,2017-11-01,2925.0000000000064
48,Office Furniture,Desk,2017-12-01,3055.000000000007
49,Office Furniture,Desk,2018-01-01,3726.666666666675
50,Office Furniture,Desk,2018-02-01,3791.666666666675
51,Office Furniture,Desk,2018-03-01,4181.666666666676
52,Office Furniture,Desk,2018-04-01,4961.666666666678
53,Office Furniture,Desk,2018-05-01,6175.000000000015
54,Office Furniture,Desk,2018-06-01,6868.33333333335
55,Office Furniture,Desk,2018-07-01,7908.333333333354
56,Office Furniture,Desk,2018-08-01,8926.66666666669
