,Product Family,Product Name,10-2017,11-2017,12-2017,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019
0,Art & Collectables,Art & Collectables,275.14814814814827,465.0416666666669,460.6435185185187,558.9768518518521,535.8842592592594,646.4305555555557,863.240740740741,942.5324074074077,1055.6250000000002,1163.50462962963,1132.8287037037042,1231.5092592592598,1339.3935185185192,1381.8750000000007,1553.944444444445,1587.7453703703711,1542.310185185186,1540.921296296297,1747.9490740740748,2079.587962962964,2030.6805555555566,2380.7824074074088,2770.7037037037053
1,Bedroom Furniture,Double Bed,140.625,386.71875,189.84375,316.40625,330.46875,-35.15625,14.0625,956.25,1328.90625,1926.5625,2510.15625,2791.40625,2819.53125,2988.28125,3178.125,2917.96875,3403.125,3585.9375,3649.21875,3803.90625,3663.28125,2896.875,2784.375
2,Bedroom Furniture,Dresser/Drawer,3068.75,6425.5,6320.5,7227.25,6952.5,7822.25,8889.0,11170.25,11327.0,12480.5,13151.25,13803.25,14300.25,14819.75,14968.0,15106.0,15543.5,15974.75,16003.0,16145.75,16502.0,16145.75,15419.25
3,Bedroom Furniture,Mirror,29.333333333333357,45.33333333333338,49.33333333333337,50.00000000000003,38.00000000000001,45.333333333333336,30.666666666666647,47.3333333333333,45.33333333333329,183.99999999999977,189.99999999999977,197.99999999999977,196.66666666666643,197.99999999999974,191.99999999999974,183.33333333333306,189.99999999999972,182.66666666666637,177.9999999999997,172.66666666666634,178.66666666666634,168.66666666666632,170.66666666666632
4,Bedroom Furniture,Other Bed,806.6666666666661,2365.468749999998,2408.541666666665,3335.208333333331,3318.5416666666647,3225.208333333331,3561.8749999999977,4488.541666666663,4755.20833333333,5285.20833333333,5665.20833333333,6265.208333333329,7815.208333333327,8508.541666666659,8985.208333333325,9705.208333333325,10915.208333333323,11851.874999999989,12565.208333333321,13328.541666666653,13601.874999999987,14005.20833333332,14488.541666666652
5,Bedroom Furniture,Queen Bed,1199.9999999999984,2833.3333333333303,2666.6666666666642,1666.6666666666624,466.6666666666599,-433.3333333333437,-266.66666666667584,1799.9999999999948,866.6666666666631,2733.3333333333303,5399.999999999996,7833.333333333321,8466.666666666657,8666.66666666666,8499.999999999995,8699.999999999996,8599.999999999996,8899.999999999998,8333.33333333333,9333.333333333334,9366.666666666668,8900.000000000002,8300.0
6,Bedroom Furniture,Room Divider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Bedroom Furniture,Twin Bed,284.375,710.9375,954.6875,2681.25,2843.75,3453.125,4184.375,5931.25,6987.5,8937.5,9912.5,12512.5,13426.5625,14096.875,14950.0,15620.3125,15600.0,15640.625,16270.3125,16757.8125,18220.3125,18748.4375,18809.375
8,Bedroom Furniture,Wardrobe,630.0,1485.0,1539.0,1692.0,1773.0,2106.0,2205.0,2790.0,3051.0,3582.0,3915.0,4356.0,4509.0,4869.0,5058.0,5364.0,5337.0,5643.0,5562.0,5634.0,5841.0,5742.0,6255.0
9,Dining / Kitchen Furniture,Chair,4493.923611111112,7716.406250000002,8132.1180555555575,10570.486111111115,9695.833333333336,10946.093750000004,11767.881944444449,14704.77430555556,15835.069444444449,18072.91666666667,19312.326388888894,20348.263888888894,21302.951388888894,22287.41319444445,22452.343750000004,23407.89930555556,24332.29166666667,24130.034722222226,24800.173611111117,25623.00347222223,26914.756944444453,27372.30902777779,27912.15277777779
10,Dining / Kitchen Furniture,Shelf,466.7499999999996,787.1666666666661,950.7499999999992,1476.8333333333317,1721.5833333333312,1920.9166666666642,2164.0833333333303,2602.166666666663,2981.249999999996,3145.333333333329,3405.249999999995,3608.333333333328,3835.416666666661,3912.999999999994,4220.249999999994,4436.41666666666,4575.999999999993,4810.999999999993,4992.749999999993,5101.583333333326,5326.083333333326,5407.249999999993,5564.999999999993
11,Dining / Kitchen Furniture,Sideboard,850.0,2050.0,1950.0,2000.0,1700.0,2000.0,2450.0,3700.0,4000.0,4650.0,5500.0,5800.0,6300.0,6550.0,6650.0,6800.0,7150.0,7100.0,7150.0,8200.0,8900.0,9450.0,9450.0
12,Dining / Kitchen Furniture,Table,4933.333333333323,8088.888888888871,8666.666666666648,11333.333333333308,10711.111111111088,12088.888888888863,13333.333333333305,16622.222222222186,20311.11111111107,23422.222222222175,24222.222222222175,25155.555555555507,25866.666666666617,27377.777777777726,28177.777777777726,29244.44444444439,29822.222222222168,29866.666666666613,30266.666666666613,32355.5555555555,33644.44444444439,34755.5555555555,34711.11111111105
13,Electronics/Appliances,Computer,0.277777777777778,1.944444444444446,1.6666666666666679,3.6111111111111143,2.7777777777777803,4.1666666666666705,5.277777777777782,8.33333333333334,8.33333333333334,9.444444444444452,9.166666666666673,9.166666666666673,9.444444444444452,8.888888888888896,9.444444444444452,9.444444444444452,10.000000000000007,9.166666666666673,8.611111111111118,8.888888888888896,8.611111111111118,9.166666666666673,8.888888888888895
14,Electronics/Appliances,Other,17.388888888888903,43.77777777777781,44.62500000000003,52.44444444444448,54.61111111111114,62.25000000000004,66.36111111111116,81.33333333333339,93.73611111111117,115.58333333333341,133.93055555555566,132.013888888889,145.68055555555566,154.388888888889,157.013888888889,170.40277777777789,186.16666666666677,192.54166666666677,197.05555555555566,227.94444444444457,233.6666666666668,250.0277777777779,259.65277777777794
15,Electronics/Appliances,Television,159.7939814814814,280.00694444444434,332.8842592592591,390.7592592592591,399.48148148148135,452.1226851851851,478.46527777777766,567.0879629629628,622.0393518518517,727.4328703703702,783.548611111111,903.5740740740739,944.8032407407405,1041.4120370370367,1061.296296296296,1077.1527777777776,1121.4953703703702,1168.3379629629628,1212.5555555555554,1361.247685185185,1437.4861111111109,1463.4027777777776,1497.9861111111109
16,Housewares & Linens,Housewares & Linens,2814.3194444444443,7112.472222222222,10383.458333333332,12623.694444444443,13655.374999999998,15142.708333333332,18269.041666666664,19871.263888888887,22538.624999999996,26096.152777777774,28406.20833333333,30398.72222222222,32966.58333333333,34961.666666666664,37537.63888888888,38831.99999999999,41174.62499999999,43372.87499999999,46046.95833333333,48631.87499999999,51306.01388888888,54545.51388888888,57475.97222222222
17,Living Room,Cabinet,855.0,1732.5,2205.0,3015.0,3510.0,4162.5,4995.0,6052.5,7290.0,8595.0,9315.0,9990.0,10507.5,11160.0,11430.0,11857.5,12375.0,12420.0,12982.5,13815.0,14602.5,15232.5,15660.0
18,Living Room,Rug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Living Room,Shelf,717.6388888888881,1443.935185185183,1338.796296296294,1889.444444444441,1727.5925925925897,1819.5833333333303,2450.3703703703654,3047.1759259259197,3903.749999999991,6353.935185185177,7003.935185185176,7516.759259259249,8145.648148148137,8558.796296296285,8748.379629629617,8908.148148148135,9014.07407407406,9105.277777777763,9284.444444444429,9547.129629629613,10216.52777777776,10574.398148148128,10947.314814814792
20,Living Room,Small Chair,988.125,2073.90625,2195.3125,2529.53125,3493.90625,4158.4375,4254.21875,4974.375,4947.8125,5260.78125,5823.28125,5903.59375,6282.8125,6713.28125,7067.8125,6874.375,6995.3125,6741.40625,6720.625,6715.3125,7039.84375,7068.90625,7027.8125
21,Living Room,Sofa,6199.999999999998,12666.666666666659,13916.666666666657,17899.999999999985,19266.66666666665,21949.999999999978,25683.333333333307,31783.333333333307,36299.99999999997,41916.666666666635,45283.3333333333,47599.99999999996,49966.66666666663,52649.999999999956,55233.333333333285,56483.333333333285,57883.333333333285,59366.66666666661,61366.666666666606,64249.999999999935,68416.6666666666,69566.6666666666,70066.6666666666
22,Living Room,Table,1178.666666666666,2514.499999999999,2510.666666666666,2938.666666666666,2794.0,3088.166666666667,3682.000000000001,4839.0,5772.333333333333,6490.333333333334,6994.166666666668,7168.333333333334,7510.166666666667,7927.666666666666,8057.666666666666,8122.5,8400.5,8441.5,8351.166666666668,8753.833333333334,9267.333333333334,9422.166666666666,9621.0
23,Living Room,Upholstered Chair,3295.3333333333335,5819.666666666668,6281.666666666669,7329.333333333336,7392.000000000003,8631.333333333336,10196.000000000002,12836.666666666668,14704.833333333334,16901.0,18430.5,18909.0,20046.666666666664,21294.333333333332,22141.666666666664,23134.499999999996,23779.499999999996,24011.999999999996,25292.499999999996,26567.166666666664,27804.666666666664,29313.499999999996,28984.166666666664
24,Living Room,Wall Unit,490.5,1030.5,1302.0,1593.75,1704.0,1653.75,1794.0,2588.25,2949.0,3130.5,3521.25,3811.5,3982.5,4052.25,4122.0,4221.75,4311.75,4431.75,4551.75,4711.5,4821.75,5012.25,5403.0
25,Office Furniture,Cabinet,56.0,112.0,144.0,228.0,248.0,264.0,316.0,920.0,980.0,1044.0,1084.0,1116.0,1128.0,1152.0,1176.0,1192.0,1192.0,1232.0,1280.0,1332.0,1376.0,1416.0,1460.0
26,Office Furniture,Chair,303.0092592592593,545.4166666666667,623.3333333333335,683.9351851851853,675.2777777777779,580.0462962962963,432.8703703703703,1411.1574074074072,1566.9907407407402,1610.2777777777771,1644.9074074074067,1688.1944444444437,1662.2222222222215,1965.2314814814808,1982.5462962962956,1835.3703703703695,1818.0555555555547,1774.7685185185178,1627.592592592592,1809.3981481481474,1921.9444444444437,1714.166666666666,1757.453703703703
27,Office Furniture,Desk,1300.0000000000023,2925.0000000000064,3055.000000000007,3726.666666666675,3791.666666666675,4181.666666666676,4961.666666666678,6175.000000000015,6868.33333333335,7908.333333333354,8926.66666666669,9685.000000000025,10226.666666666693,10876.666666666695,11613.333333333363,11765.000000000031,12090.000000000033,12350.000000000033,12913.333333333369,13520.000000000036,14430.000000000038,15036.666666666706,15470.00000000004
