Case Number,PostalCode,Number in Household,# of Adults,# of Children,Quantity,Amount,Cubic Volume Total (Ft),Primary Segment,Appointment Date,Date/Time Opened,DAY,MONTH,YEAR
00002355,M9L1E2,,1,,7,$655.00 ,40.25,Formerly Homeless,,01/06/2015 12:08 PM,1,6,2015
00002341,M6C3V1,3,1,2,19,$985.00 ,109.25,Women and/or Children,,29/05/2015 5:48 PM,29,5,2015
00002312,M6A1W9,3,2,1,11,$950.00 ,63.25,Refugees,,28/05/2015 10:12 AM,28,5,2015
00002295,M9W1V9,5,3,2,19,"$1,260.00 ",109.25,Refugees,,26/05/2015 2:49 PM,26,5,2015
00002321,M9N2A4,3,1,2,26,"$1,640.00 ",149.50,Refugees,,28/05/2015 3:38 PM,28,5,2015
00002385,M5V2Z7,3,1,2,16,$955.00 ,92.00,Other,,03/06/2015 1:48 PM,3,6,2015
00002321,M9N2A4,3,1,2,1,$20.00 ,5.75,Refugees,,28/05/2015 3:38 PM,28,5,2015
00002309,M3L2C9,,1,,2,$55.00 ,11.50,Refugees,,27/05/2015 11:52 AM,27,5,2015
00002407,M4M2Z8,,1,,5,$260.00 ,28.75,Formerly Homeless,,05/06/2015 12:23 PM,5,6,2015
00002451,M6J3K2,1,1,0,7,$565.00 ,40.25,Women and/or Children,,10/06/2015 10:46 AM,10,6,2015
00002395,M1R1S1,4,1,3,9,$570.00 ,51.75,Formerly Homeless,,04/06/2015 4:16 PM,4,6,2015
00001492,M6R1W9,3,1,2,4,$360.00 ,23.00,Women and/or Children,,18/02/2015 5:04 PM,18,2,2015
00001491,M3N2Y2,2,1,1,7,$345.00 ,40.25,Women and/or Children,,18/02/2015 4:35 PM,18,2,2015
00001464,M6N4B6,2,1,1,2,$40.00 ,11.50,Refugees,,13/02/2015 10:20 AM,13,2,2015
00001492,M6R1W9,3,1,2,1,$20.00 ,5.75,Women and/or Children,,18/02/2015 5:04 PM,18,2,2015
00001166,M1E1M5,,1,,16,$990.00 ,92.00,Women and/or Children,,08/01/2015 11:30 AM,8,1,2015
00001496,M4B2G1,,1,,23,"$1,415.00 ",132.25,Formerly Homeless,,19/02/2015 2:14 PM,19,2,2015
00001537,M4J5B1,,1,,16,$920.00 ,92.00,Formerly Homeless,,24/02/2015 4:14 PM,24,2,2015
00001632,M2N0A2,,1,,18,"$1,210.00 ",103.50,Formerly Homeless,,06/03/2015 11:44 AM,6,3,2015
00001512,M2R3J1,5,1,4,16,$890.00 ,92.00,Women and/or Children,,20/02/2015 3:44 PM,20,2,2015
00001536,M1B3G5,2,1,1,16,"$1,350.00 ",92.00,Women and/or Children,,24/02/2015 4:06 PM,24,2,2015
00001610,M1R1S1,,1,,1,$20.00 ,5.75,Formerly Homeless,,04/03/2015 3:38 PM,4,3,2015
00001536,M1B3G5,2,1,1,1,$20.00 ,5.75,Women and/or Children,,24/02/2015 4:06 PM,24,2,2015
00002153,M3N2H8,2,1,1,11,$970.00 ,63.25,Refugees,,07/05/2015 11:45 AM,7,5,2015
00002095,M9V2G4,5,1,4,16,"$1,180.00 ",92.00,Women and/or Children,,30/04/2015 11:58 AM,30,4,2015
00002141,m6m4h2,5,1,4,11,$645.00 ,63.25,Women and/or Children,,06/05/2015 12:35 PM,6,5,2015
00001303,M3J2Z3,4,2,2,26,"$1,780.00 ",149.50,Formerly Homeless,,26/01/2015 3:12 PM,26,1,2015
00001309,M6H3V5,,1,,25,"$1,275.00 ",143.75,Formerly Homeless,,27/01/2015 11:11 AM,27,1,2015
00001328,M5A2E1,1,1,0,14,$825.00 ,80.50,Women and/or Children,,29/01/2015 11:00 AM,29,1,2015
00001315,M6M4H2,3,1,2,16,"$1,040.00 ",92.00,Indigenous,,27/01/2015 3:21 PM,27,1,2015
00001271,M1E2E6,6,1,5,22,"$1,335.00 ",126.50,Formerly Homeless,,22/01/2015 8:48 AM,22,1,2015
00001315,M6M4H2,3,1,2,1,$20.00 ,5.75,Indigenous,,27/01/2015 3:21 PM,27,1,2015
00001265,M1J1Z5,,3,,18,"$1,210.00 ",103.50,Refugees,,21/01/2015 12:17 PM,21,1,2015
00001279,M4H1C9,4,3,1,18,$995.00 ,103.50,Refugees,,22/01/2015 3:33 PM,22,1,2015
00001225,M1K2B8,2,1,1,23,"$1,455.00 ",132.25,Women and/or Children,,15/01/2015 4:01 PM,15,1,2015
00001250,M3N2Z1,2,1,1,6,$285.00 ,34.50,Women and/or Children,,20/01/2015 11:59 AM,20,1,2015
00001284,M1R1S9,,5,,1,$20.00 ,5.75,Immigrants,,23/01/2015 10:41 AM,23,1,2015
00001473,M1J2H8,5,2,3,15,"$1,285.00 ",86.25,Refugees,,17/02/2015 11:40 AM,17,2,2015
00001543,M1K4H8,,1,,21,"$1,355.00 ",120.75,Women and/or Children,,25/02/2015 2:21 PM,25,2,2015
00001425,M3C1C8,,1,,17,"$1,015.00 ",97.75,Refugees,,10/02/2015 2:26 PM,10,2,2015
00001511,M1R1K9,,2,,27,"$1,760.00 ",155.25,Immigrants & Newcomers,,20/02/2015 3:43 PM,20,2,2015
00001501,M1J1Y9,3,2,1,9,$780.00 ,51.75,Refugees,,20/02/2015 10:44 AM,20,2,2015
00001515,M1N1J4,,1,,18,"$1,090.00 ",103.50,Refugees,,20/02/2015 7:30 PM,20,2,2015
00001213,M6S4W6,2,1,1,6,$470.00 ,34.50,Formerly Homeless,,15/01/2015 9:50 AM,15,1,2015
00001167,M4L1Y6,,1,,21,"$1,235.00 ",120.75,Formerly Homeless,,08/01/2015 12:26 PM,8,1,2015
00001220,M6R2B9,,1,,11,$430.00 ,63.25,Formerly Homeless,,15/01/2015 2:02 PM,15,1,2015
00001180,M9V1V1,,1,,16,$525.00 ,92.00,Formerly Homeless,,09/01/2015 4:59 PM,9,1,2015
