index,gender,age,student_since,nationality,school_education,attended_university,year,month,semester
39,male,39,2015-10-16,Albania,,UNKNOWN,2015,10,2H
31,female,35,2015-10-16,Syria,,UNKNOWN,2015,10,2H
25,female,26,2015-10-16,Syria,,UNKNOWN,2015,10,2H
24,female,26,2015-10-16,Syria,,UNKNOWN,2015,10,2H
23,female,29,2015-10-16,Syria,Upper secondary education (11-13 school years),TRUE,2015,10,2H
32,female,28,2015-10-16,Syria,,UNKNOWN,2015,10,2H
33,male,27,2015-10-16,Syria,,TRUE,2015,10,2H
19,male,29,2015-10-16,Yemen,,UNKNOWN,2015,10,2H
18,male,31,2015-10-16,Nigeria,Upper secondary education (11-13 school years),TRUE,2015,10,2H
37,male,35,2015-10-16,Syria,,TRUE,2015,10,2H
43,male,40,2015-10-16,Syria,,UNKNOWN,2015,10,2H
12,male,27,2015-10-16,Syria,Upper secondary education (11-13 school years),UNKNOWN,2015,10,2H
28,male,35,2015-10-16,Iran,Upper secondary education (11-13 school years),UNKNOWN,2015,10,2H
9,female,24,2015-10-16,Syria,,UNKNOWN,2015,10,2H
7,male,25,2015-10-16,Afghanistan,Upper secondary education (11-13 school years),TRUE,2015,10,2H
71,male,26,2015-10-16,Afghanistan,Upper secondary education (11-13 school years),UNKNOWN,2015,10,2H
46,male,25,2015-10-16,Syria,,UNKNOWN,2015,10,2H
50,male,34,2015-10-17,Syria,Upper secondary education (11-13 school years),UNKNOWN,2015,10,2H
29,male,34,2015-10-17,Syria,,UNKNOWN,2015,10,2H
38,male,32,2015-10-17,Syria,Upper secondary education (11-13 school years),UNKNOWN,2015,10,2H
36,male,27,2015-10-17,Somalia,,TRUE,2015,10,2H
62,male,31,2015-10-17,Senegal,Upper secondary education (11-13 school years),UNKNOWN,2015,10,2H
35,female,27,2015-10-17,Syria,,UNKNOWN,2015,10,2H
64,male,28,2015-10-17,Syria,Upper secondary education (11-13 school years),TRUE,2015,10,2H
76,male,23,2015-10-17,Somalia,Upper secondary education (11-13 school years),UNKNOWN,2015,10,2H
78,male,36,2015-10-17,Jordan,Upper secondary education (11-13 school years),TRUE,2015,10,2H
79,female,37,2015-10-17,Libya,,UNKNOWN,2015,10,2H
108,male,23,2015-10-17,Cameroon,,UNKNOWN,2015,10,2H
0,male,35,2015-10-17,Syria,Upper secondary education (11-13 school years),FALSE,2015,10,2H
72,female,34,2015-10-17,Nigeria,,UNKNOWN,2015,10,2H
22,male,35,2015-10-17,Syria,,UNKNOWN,2015,10,2H
20,male,24,2015-10-17,Syria,,UNKNOWN,2015,10,2H
16,male,27,2015-10-17,Russia,,UNKNOWN,2015,10,2H
6,male,33,2015-10-17,Somalia,Primary education (4-7 school years),UNKNOWN,2015,10,2H
14,male,31,2015-10-17,Chad,Upper secondary education (11-13 school years),TRUE,2015,10,2H
2,male,35,2015-10-17,Syria,Upper secondary education (11-13 school years),UNKNOWN,2015,10,2H
13,male,24,2015-10-17,Lebanon,Upper secondary education (11-13 school years),UNKNOWN,2015,10,2H
63,female,38,2015-10-18,Palestine,Upper secondary education (11-13 school years),UNKNOWN,2015,10,2H
70,male,23,2015-10-18,Afghanistan,,UNKNOWN,2015,10,2H
114,male,31,2015-10-18,Syria,,UNKNOWN,2015,10,2H
109,male,35,2015-10-18,Syria,,UNKNOWN,2015,10,2H
