gender,age,student_since,nationality,school_education,attended_university	
male,35,10/17/2015,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,43,11/12/2015,Nigeria,,	
male,35,10/17/2015,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,26,1/13/2016,Iran (Islamic Republic of),Upper secondary education (11-13 school years),	
male,34,10/22/2015,Kenya,,	
male,29,3/31/2016,Syrian Arab Republic,,	
male,33,10/17/2015,Somalia,Primary education (4-7 school years),	
male,25,10/16/2015,Afghanistan,Upper secondary education (11-13 school years),TRUE	
male,26,6/29/2018,"Palestine, State of",,
female,24,10/16/2015,Syrian Arab Republic,,	
male,21,11/6/2015,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,27,4/22/2016,Syrian Arab Republic,,	
male,27,10/16/2015,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,24,10/17/2015,Lebanon,Upper secondary education (11-13 school years),	
male,31,10/17/2015,Chad,Upper secondary education (11-13 school years),TRUE	
male,32,4/22/2016,Syrian Arab Republic,,	
male,27,10/17/2015,Russian Federation,,	
male,43,10/20/2015,Syrian Arab Republic,,	
male,31,10/16/2015,Nigeria,Upper secondary education (11-13 school years),TRUE	
male,29,10/16/2015,Yemen,,	
male,24,10/17/2015,Syrian Arab Republic,,	
male,23,11/12/2015,Gambia,,	
male,35,10/17/2015,Syrian Arab Republic,,	
female,29,10/16/2015,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,26,10/16/2015,Syrian Arab Republic,,	
female,26,10/16/2015,Syrian Arab Republic,,	
female,32,11/7/2015,Syrian Arab Republic,,	
male,25,12/19/2016,Egypt,,	
male,35,10/16/2015,Iran (Islamic Republic of),Upper secondary education (11-13 school years),	
male,34,10/17/2015,Syrian Arab Republic,,	
male,35,3/16/2016,Sudan,,TRUE	
female,35,10/16/2015,Syrian Arab Republic,,	
female,28,10/16/2015,Syrian Arab Republic,,	
male,27,10/16/2015,Syrian Arab Republic,,TRUE	
male,26,10/21/2015,Syrian Arab Republic,,TRUE	
female,27,10/17/2015,Syrian Arab Republic,,	
male,27,10/17/2015,Somalia,,TRUE	
male,35,10/16/2015,Syrian Arab Republic,,TRUE	
male,32,10/17/2015,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,39,10/16/2015,Albania,,	
female,40,3/14/2019,Syrian Arab Republic,,TRUE	
female,22,10/23/2015,"Palestine, State of",,
male,33,10/24/2015,Ethiopia,,	
male,40,10/16/2015,Syrian Arab Republic,,	
male,35,11/11/2015,Pakistan,Upper secondary education (11-13 school years),TRUE	
male,24,10/27/2015,Pakistan,,	
male,25,10/16/2015,Syrian Arab Republic,,	
male,37,11/1/2015,Syrian Arab Republic,,	
male,30,10/19/2015,Somalia,Lower secondary education (7-11 school years),	
male,33,10/19/2015,Afghanistan,Upper secondary education (11-13 school years),FALSE	
male,34,10/17/2015,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,26,10/28/2015,Egypt,,TRUE	
male,28,11/10/2015,Syrian Arab Republic,,	
male,33,5/31/2017,Ethiopia,Upper secondary education (11-13 school years),TRUE	
male,30,1/15/2016,Somalia,,	
male,36,10/18/2015,Libya,,	
male,26,2/4/2016,Afghanistan,Upper secondary education (11-13 school years),TRUE	
male,22,10/30/2015,Eritrea,Lower secondary education (7-11 school years),	
male,26,10/21/2015,Pakistan,,	
male,31,10/19/2015,Nigeria,,	
male,26,10/27/2015,Somalia,,	
male,36,11/19/2015,Ethiopia,,	
male,31,10/17/2015,Senegal,Upper secondary education (11-13 school years),	
female,38,10/18/2015,"Palestine, State of",Upper secondary education (11-13 school years),
male,28,10/17/2015,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
male,27,10/23/2015,Syrian Arab Republic,,	
male,22,7/12/2016,Afghanistan,,	
male,31,10/19/2015,Pakistan,,	
male,29,6/17/2017,Afghanistan,Upper secondary education (11-13 school years),FALSE	
male,26,3/30/2016,Syrian Arab Republic,,	
male,23,10/18/2015,Afghanistan,,	
male,26,10/16/2015,Afghanistan,Upper secondary education (11-13 school years),	
female,34,10/17/2015,Nigeria,,	
male,27,11/12/2016,Afghanistan,,	
male,39,10/20/2015,Syrian Arab Republic,,	
male,26,4/2/2016,Iraq,,TRUE	
male,23,10/17/2015,Somalia,Upper secondary education (11-13 school years),	
female,24,10/19/2015,Azerbaijan,,	
male,36,10/17/2015,Jordan,Upper secondary education (11-13 school years),TRUE	
female,37,10/17/2015,Libya,,	
male,26,7/2/2016,"Palestine, State of",,
male,29,11/7/2015,Syrian Arab Republic,Upper secondary education (11-13 school years),TRUE	
female,33,10/25/2017,Syrian Arab Republic,,	
male,27,10/18/2015,Nigeria,,	
male,28,1/8/2019,Syrian Arab Republic,,TRUE	
male,28,10/25/2015,Afghanistan,Upper secondary education (11-13 school years),FALSE	
female,34,4/3/2016,Syrian Arab Republic,,	
male,27,1/24/2017,Syrian Arab Republic,,	
male,32,10/27/2015,Ethiopia,Upper secondary education (11-13 school years),TRUE	
male,41,4/16/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,27,6/29/2016,Egypt,Upper secondary education (11-13 school years),FALSE	
male,28,10/22/2015,Guinea,,	
female,22,10/19/2015,Iraq,,	
male,31,10/21/2015,Afghanistan,,	
male,26,10/19/2015,Syrian Arab Republic,,	
male,34,8/11/2016,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,26,10/19/2015,Syrian Arab Republic,,TRUE	
male,30,10/19/2015,Syrian Arab Republic,,	
male,24,10/20/2015,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,33,10/28/2015,Syrian Arab Republic,Upper secondary education (11-13 school years),	
male,35,4/6/2017,"Palestine, State of",,
male,25,9/16/2016,Syrian Arab Republic,,	
female,24,10/22/2015,Eritrea,Upper secondary education (11-13 school years),FALSE	
male,49,11/6/2015,Syrian Arab Republic,,	
male,36,10/20/2015,Syrian Arab Republic,Upper secondary education (11-13 school years),FALSE	
male,49,10/18/2015,Afghanistan,Upper secondary education (11-13 school years),	
male,29,4/5/2016,Sudan,,	
male,29,4/14/2016,Germany,,	
