index,gender,age,student_since,nationality,school_education,attended_university
39,male,39,2015-10-16,Albania,,UKNOWN
31,female,35,2015-10-16,Syria,,UKNOWN
25,female,26,2015-10-16,Syria,,UKNOWN
24,female,26,2015-10-16,Syria,,UKNOWN
23,female,29,2015-10-16,Syria,Upper secondary education (11-13 school years),TRUE
32,female,28,2015-10-16,Syria,,UKNOWN
33,male,27,2015-10-16,Syria,,TRUE
19,male,29,2015-10-16,Yemen,,UKNOWN
18,male,31,2015-10-16,Nigeria,Upper secondary education (11-13 school years),TRUE
37,male,35,2015-10-16,Syria,,TRUE
43,male,40,2015-10-16,Syria,,UKNOWN
12,male,27,2015-10-16,Syria,Upper secondary education (11-13 school years),UKNOWN
28,male,35,2015-10-16,Iran,Upper secondary education (11-13 school years),UKNOWN
9,female,24,2015-10-16,Syria,,UKNOWN
7,male,25,2015-10-16,Afghanistan,Upper secondary education (11-13 school years),TRUE
71,male,26,2015-10-16,Afghanistan,Upper secondary education (11-13 school years),UKNOWN
46,male,25,2015-10-16,Syria,,UKNOWN
50,male,34,2015-10-17,Syria,Upper secondary education (11-13 school years),UKNOWN
29,male,34,2015-10-17,Syria,,UKNOWN
38,male,32,2015-10-17,Syria,Upper secondary education (11-13 school years),UKNOWN
36,male,27,2015-10-17,Somalia,,TRUE
62,male,31,2015-10-17,Senegal,Upper secondary education (11-13 school years),UKNOWN
35,female,27,2015-10-17,Syria,,UKNOWN
64,male,28,2015-10-17,Syria,Upper secondary education (11-13 school years),TRUE
76,male,23,2015-10-17,Somalia,Upper secondary education (11-13 school years),UKNOWN
78,male,36,2015-10-17,Jordan,Upper secondary education (11-13 school years),TRUE
79,female,37,2015-10-17,Libya,,UKNOWN
108,male,23,2015-10-17,Cameroon,,UKNOWN
0,male,35,2015-10-17,Syria,Upper secondary education (11-13 school years),FALSE
72,female,34,2015-10-17,Nigeria,,UKNOWN
22,male,35,2015-10-17,Syria,,UKNOWN
20,male,24,2015-10-17,Syria,,UKNOWN
16,male,27,2015-10-17,Russia,,UKNOWN
6,male,33,2015-10-17,Somalia,Primary education (4-7 school years),UKNOWN
14,male,31,2015-10-17,Chad,Upper secondary education (11-13 school years),TRUE
2,male,35,2015-10-17,Syria,Upper secondary education (11-13 school years),UKNOWN
13,male,24,2015-10-17,Lebanon,Upper secondary education (11-13 school years),UKNOWN
63,female,38,2015-10-18,Palestine,Upper secondary education (11-13 school years),
70,male,23,2015-10-18,Afghanistan,,UKNOWN
114,male,31,2015-10-18,Syria,,UKNOWN
109,male,35,2015-10-18,Syria,,UKNOWN
