,ISCED11 0,ISCED11 1,ISCED11 2,ISCED11 3,ISCED11 4,ISCED11 6/7,ISCED11 8,Number graduated
total,17,21,20,26,3,11,1,61
Gender,,,,,,,,
Male,16,22,21,26,4,10,1,62
Female,23,18,16,26,1,14,1,58
Nationality,,,,,,,,
Syria,8,20,20,32,2,15,2,71
Afghanistan,34,21,14,20,4,4,0,42
Iraq,24,26,19,17,1,11,1,49
"Albania, Serbia, Kosovo",14,24,25,14,21,1,0,60
"Eritrea, Somalia",19,39,24,13,1,4,0,42
"Iran, Pakistan",10,10,26,42,3,9,0,79
Other,23,18,18,24,4,12,1,59
,,,,,,,,
Figure,Percentage of total students 18 years and older (along row). ,,,,,,,
Ref,http://doku.iab.de/forschungsbericht/2017/fb1317.pdf,,,,,,,
